split,subject_key,site,threshold,min_size_voxels,dice,predicted_voxels,reference_voxels,volume_ratio,recall_voxelwise
train,training_Amsterdam_GE3T_102,Amsterdam,1.35,2,0.04724358768062305,29834,1239,24.07909604519774,0.5924132364810331
train,training_Amsterdam_GE3T_102,Amsterdam,1.35,3,0.04714421159316049,29348,1239,23.68684422921711,0.5819209039548022
train,training_Amsterdam_GE3T_102,Amsterdam,1.35,5,0.046299076019880585,28740,1239,23.196125907990314,0.5601291364003228
train,training_Amsterdam_GE3T_102,Amsterdam,1.4,0,0.06271490890428534,18246,1239,14.72639225181598,0.49313962873284906
train,training_Amsterdam_GE3T_102,Amsterdam,1.4,2,0.06352241342681113,17589,1239,14.196125907990314,0.4826472962066182
train,training_Amsterdam_GE3T_102,Amsterdam,1.4,3,0.06337951347223737,17095,1239,13.797417271993544,0.4689265536723164
train,training_Amsterdam_GE3T_102,Amsterdam,1.4,5,0.06047954866008463,16486,1239,13.30589184826473,0.43260694108151737
train,training_Amsterdam_GE3T_102,Amsterdam,1.5,0,0.11053864168618267,5166,1239,4.169491525423729,0.2857142857142857
train,training_Amsterdam_GE3T_102,Amsterdam,1.5,2,0.11536532352449423,4742,1239,3.8272800645682,0.2784503631961259
train,training_Amsterdam_GE3T_102,Amsterdam,1.5,3,0.11605070523120871,4362,1239,3.5205811138014527,0.2623083131557708
train,training_Amsterdam_GE3T_102,Amsterdam,1.5,5,0.11008822401227465,3975,1239,3.208232445520581,0.23163841807909605
train,training_Amsterdam_GE3T_102,Amsterdam,1.6,0,0.1740216486261449,1163,1239,0.9386602098466506,0.16868442292171107
train,training_Amsterdam_GE3T_102,Amsterdam,1.6,2,0.1763382816014395,984,1239,0.7941888619854721,0.15819209039548024
train,training_Amsterdam_GE3T_102,Amsterdam,1.6,3,0.17316017316017315,840,1239,0.6779661016949152,0.14527845036319612
train,training_Amsterdam_GE3T_102,Amsterdam,1.6,5,0.16210526315789472,661,1239,0.5334947538337369,0.12429378531073447
train,training_Amsterdam_GE3T_104,Amsterdam,1.05,0,0.10736050023846114,142634,8334,17.11471082313415,0.9724022078233742
train,training_Amsterdam_GE3T_104,Amsterdam,1.05,2,0.10756784379832357,142343,8334,17.079793616510678,0.9724022078233742
train,training_Amsterdam_GE3T_104,Amsterdam,1.05,3,0.10775910792534128,142057,8334,17.045476361891048,0.9722822174226062
train,training_Amsterdam_GE3T_104,Amsterdam,1.05,5,0.10795435621073948,141785,8334,17.012838972882168,0.9722822174226062
train,training_Amsterdam_GE3T_104,Amsterdam,1.1,0,0.1374439004487964,109314,8334,13.116630669546437,0.9701223902087833
train,training_Amsterdam_GE3T_104,Amsterdam,1.1,2,0.13799107257162854,108833,8334,13.058915286777058,0.9700023998080154
train,training_Amsterdam_GE3T_104,Amsterdam,1.1,3,0.13843532463974106,108457,8334,13.013798896088312,0.9700023998080154
train,training_Amsterdam_GE3T_104,Amsterdam,1.1,5,0.13889414069885359,108028,8334,12.962323014158867,0.9696424286057116
train,training_Amsterdam_GE3T_104,Amsterdam,1.15,0,0.18076910099090082,80575,8334,9.668226541876649,0.9642428605711543
train,training_Amsterdam_GE3T_104,Amsterdam,1.15,2,0.18183464433252222,80021,8334,9.601751859851213,0.9638828893688505
train,training_Amsterdam_GE3T_104,Amsterdam,1.15,3,0.18266419413190138,79565,8334,9.547036237101032,0.9632829373650108
train,training_Amsterdam_GE3T_104,Amsterdam,1.15,5,0.1836048320673561,79082,8334,9.489080873530117,0.962922966162707
train,training_Amsterdam_GE3T_104,Amsterdam,1.2,0,0.24157739954591861,57293,8334,6.874610031197504,0.951163906887449
train,training_Amsterdam_GE3T_104,Amsterdam,1.2,2,0.24369385997292975,56682,8334,6.801295896328294,0.9505639548836093
train,training_Amsterdam_GE3T_104,Amsterdam,1.2,3,0.2451620893581447,56260,8334,6.750659947204223,0.9500839932805376
train,training_Amsterdam_GE3T_104,Amsterdam,1.2,5,0.246802271167405,55774,8334,6.692344612431006,0.949244060475162
train,training_Amsterdam_GE3T_104,Amsterdam,1.25,0,0.3187451109555766,40244,8334,4.82889368850492,0.9289656827453804
train,training_Amsterdam_GE3T_104,Amsterdam,1.25,2,0.3223050960456686,39664,8334,4.759299256059515,0.9281257499400049
train,training_Amsterdam_GE3T_104,Amsterdam,1.25,3,0.3247310020174849,39250,8334,4.709623230141589,0.9270458363330933
train,training_Amsterdam_GE3T_104,Amsterdam,1.25,5,0.32806871709614854,38583,8334,4.629589632829374,0.9234461243100552
train,training_Amsterdam_GE3T_104,Amsterdam,1.3,0,0.4080198316489144,28375,8334,3.404727621790257,0.8986081113510919
train,training_Amsterdam_GE3T_104,Amsterdam,1.3,2,0.41353965183752417,27856,8334,3.342452603791697,0.8978881689464843
train,training_Amsterdam_GE3T_104,Amsterdam,1.3,3,0.41739276139410186,27474,8334,3.296616270698344,0.8966882649388049
train,training_Amsterdam_GE3T_104,Amsterdam,1.3,5,0.42107050864728696,26995,8334,3.2391408687305017,0.892488600911927
train,training_Amsterdam_GE3T_104,Amsterdam,1.35,0,0.49550491323437174,20364,8334,2.4434845212383007,0.8531317494600432
train,training_Amsterdam_GE3T_104,Amsterdam,1.35,2,0.502245006187025,19951,8334,2.3939284857211423,0.8522918166546676
train,training_Amsterdam_GE3T_104,Amsterdam,1.35,3,0.5059827838697003,19663,8334,2.359371250299976,0.8498920086393088
train,training_Amsterdam_GE3T_104,Amsterdam,1.35,5,0.510498355679231,19337,8334,2.320254379649628,0.84749220062395
train,training_Amsterdam_GE3T_104,Amsterdam,1.4,0,0.5752143413873734,14760,8334,1.7710583153347732,0.796976241900648
train,training_Amsterdam_GE3T_104,Amsterdam,1.4,2,0.5830990864371047,14434,8334,1.7319414446844252,0.7964962802975762
train,training_Amsterdam_GE3T_104,Amsterdam,1.4,3,0.5861091424521616,14242,8334,1.708903287736981,0.7938564914806815
train,training_Amsterdam_GE3T_104,Amsterdam,1.4,5,0.5910637535816619,14002,8334,1.6801055915526757,0.7920566354691625
train,training_Amsterdam_GE3T_104,Amsterdam,1.5,0,0.6510164569215876,8194,8334,0.9832013438924886,0.6455483561315095
train,training_Amsterdam_GE3T_104,Amsterdam,1.5,2,0.6562289768209896,8017,8334,0.9619630429565634,0.6437485001199904
train,training_Amsterdam_GE3T_104,Amsterdam,1.5,3,0.6603296092833776,7867,8334,0.9439644828413727,0.6418286537077034
train,training_Amsterdam_GE3T_104,Amsterdam,1.5,5,0.6644650757056515,7715,8334,0.9257259419246461,0.6397888168946484
train,training_Amsterdam_GE3T_104,Amsterdam,1.6,0,0.6279297610972945,4935,8334,0.5921526277897768,0.49988000959923207
train,training_Amsterdam_GE3T_104,Amsterdam,1.6,2,0.6313951723090937,4840,8334,0.5807535397168226,0.4990400767938565
train,training_Amsterdam_GE3T_104,Amsterdam,1.6,3,0.6328553996339231,4778,8334,0.5733141348692105,0.4978401727861771
train,training_Amsterdam_GE3T_104,Amsterdam,1.6,5,0.6331642846165668,4680,8334,0.5615550755939525,0.49436045116390687
train,training_Amsterdam_GE3T_105,Amsterdam,1.05,0,0.04769436855289746,128881,3252,39.63130381303813,0.9689421894218943
train,training_Amsterdam_GE3T_105,Amsterdam,1.05,2,0.047770290245067196,128671,3252,39.566728167281674,0.9689421894218943
