subject_key,split,site,held_out,dice,h95_mm,avd_percent,lesion_recall,lesion_f1
training_Utrecht_Utrecht_8,training,Utrecht,False,0.7542627883650953,10.707928094981316,17.399267399267398,0.8135593220338984,0.8513657325292657
training_Amsterdam_GE3T_100,training,Amsterdam,True,0.767043618739903,5.312246391006044,26.513452914798208,0.696969696969697,0.8086544962812712
training_Amsterdam_GE3T_103,training,Amsterdam,True,0.8678312458800264,3.15495602870298,12.165299489243152,0.6071428571428571,0.7300958044268253
training_Amsterdam_GE3T_107,training,Amsterdam,True,0.8718662952646239,2.4000000953674316,2.2535211267605635,0.8571428571428571,0.847380410022779
training_Amsterdam_GE3T_108,training,Amsterdam,True,0.7969348659003832,5.987126126103016,19.168591224018474,0.6842105263157895,0.7910750507099392
training_Singapore_Singapore_56,training,Singapore,True,0.8932072829131653,2.236067977499785,9.154155986818015,0.875,0.6796116504854369
training_Singapore_Singapore_63,training,Singapore,True,0.9026372676178124,1.9999999999999936,6.653849368887403,0.6923076923076923,0.7162629757785467
training_Singapore_Singapore_67,training,Singapore,True,0.8211258215068102,4.123105803986625,21.263193735103847,0.6756756756756757,0.761515601783061
training_Singapore_Singapore_69,training,Singapore,True,0.8808874020600405,1.414213563230144,6.193482340897457,0.75,0.8360655737704917
training_Utrecht_Utrecht_19,training,Utrecht,True,0.8354876615746181,3.9604957900054822,2.8266913809082483,0.7662337662337663,0.7532716246409192
training_Utrecht_Utrecht_27,training,Utrecht,True,0.6359649122807017,5.02102699895464,97.06840390879479,1.0,0.6666666666666666
training_Utrecht_Utrecht_33,training,Utrecht,True,0.8043112158976087,3.1493498008940297,7.332402234636872,0.8,0.814968814968815
training_Utrecht_Utrecht_6,training,Utrecht,True,0.6239234449760765,11.662535723367974,37.732919254658384,0.6086956521739131,0.672
