subject_key,site,method,runtime_s,ssim,cnr_before,cnr_after,n_lesions,retention_mean,retention_median,lesions_below_half_retention,fraction_below_half_retention,small_lesion_threshold,retention_small,n_small_lesions,small_lesions_below_half,retention_2_to_3vox,retention_4_to_5vox,retention_6_to_10vox,retention_11_to_20vox,retention_21_to_50vox,retention_over_50vox,retention_1_to_1vox
training_Utrecht_Utrecht_11,Utrecht,curvature_anisotropic_diffusion,2.191643238067627,0.9801014504470674,6.329107116577362,6.6032241220594745,57,0.7802809369959757,0.8219937090331736,5,0.08771929824561403,10,0.7194663457812875,39,5,0.6359819853087418,0.6499700253041077,0.8416990385458955,0.9100479477555694,0.9025017200735131,0.924698334442148,0.6859737759389087
training_Utrecht_Utrecht_17,Utrecht,curvature_anisotropic_diffusion,2.172130823135376,0.9818083681178007,7.077365165897596,7.42042267532079,34,0.8041267467739365,0.867425960387832,3,0.08823529411764706,10,0.7301954881805873,20,3,0.7923865351463639,0.679883273815833,0.8701924281241759,0.884838859636706,0.9082849317425318,0.9234097315132194,0.6077598415726262
training_Utrecht_Utrecht_2,Utrecht,curvature_anisotropic_diffusion,2.528186798095703,0.9880443308584047,9.583087071762655,10.216755079620503,134,0.6709636442751398,0.8369227707694438,19,0.1417910447761194,10,0.5296701623442127,85,19,0.5093704047435003,0.6720259915981089,0.5482964223445398,0.9041051867052106,0.8989965644204754,0.9734343320086868,0.2590011111267822
training_Utrecht_Utrecht_21,Utrecht,curvature_anisotropic_diffusion,2.208101511001587,0.9786821178031494,8.642762724852423,9.479323942075633,115,0.7708851404722145,0.8147128434264974,10,0.08695652173913043,10,0.696796724509873,72,10,0.6493292889966723,0.7214287356299278,0.7346250274347437,0.8626870661028636,0.8994075412466456,0.9384801469613211,0.6574145773342424
training_Utrecht_Utrecht_23,Utrecht,curvature_anisotropic_diffusion,2.1414856910705566,0.9800714269530277,7.204625894276791,7.284743475867415,21,0.7797003741167452,0.7858139026682109,1,0.047619047619047616,10,0.7163340042635574,13,1,0.6740549594242164,0.8149246576408731,0.902909054748845,0.8348113065080156,0.9315484013726134,0.9295118861240557,0.5461966249253899
training_Utrecht_Utrecht_25,Utrecht,curvature_anisotropic_diffusion,2.2683284282684326,0.985012990958203,9.611606924273946,10.445383219643247,37,0.7167996283903482,0.809640487315113,8,0.21621621621621623,10,0.688892499807619,25,7,0.7834996610947256,0.5709586961607163,0.6921272295222483,0.5690896895932378,0.8533691382055686,0.9734294731673782,0.6539163638337776
training_Utrecht_Utrecht_29,Utrecht,curvature_anisotropic_diffusion,2.4715399742126465,0.9846473701290834,8.98307609667934,9.522520024874037,81,0.755673499836386,0.8039544442386013,5,0.06172839506172839,10,0.6864835080186887,55,5,0.6368008881981779,0.7126882601444392,0.8005680577206312,0.8859074412624155,0.9060682075314836,0.9383331450619833,0.5844848052491349
training_Utrecht_Utrecht_31,Utrecht,curvature_anisotropic_diffusion,2.615679979324341,0.985545029459462,9.903836236486105,11.28952300348614,104,0.7121376030741402,0.7837525345660217,17,0.16346153846153846,10,0.6107305751805361,68,17,0.5680435215396725,0.6098340337563793,0.6713049883726113,0.8658252206114386,0.9022104155835817,0.966966671457689,0.4998874926516254
training_Utrecht_Utrecht_35,Utrecht,curvature_anisotropic_diffusion,2.4421470165252686,0.985748304223306,8.868577098136775,9.813579017068932,45,0.789410143345215,0.8414119724468585,3,0.06666666666666667,10,0.7356690026631914,34,3,0.6880999604151816,0.7644320316224735,0.7926076489837286,0.9523187144540645,0.9347257723484914,0.9787127818075008,0.7070729865630925
training_Utrecht_Utrecht_37,Utrecht,curvature_anisotropic_diffusion,2.0300536155700684,0.9836012852773006,10.102183715452394,11.222645158072806,137,0.7220846283495725,0.7972768499120502,21,0.15328467153284672,10,0.6415646724120271,96,20,0.587417723847254,0.6934154132474132,0.7589245393148204,0.8603937166232886,0.9132767936016586,0.9703003893803582,0.3646401434763584
training_Utrecht_Utrecht_39,Utrecht,curvature_anisotropic_diffusion,2.080378293991089,0.9849230478768033,12.384959802227094,14.105417145556942,109,0.7153118604985491,0.7502684723401333,15,0.13761467889908258,10,0.6503758757464237,81,15,0.5690905035683124,0.6155954793123651,0.7951627321521911,0.8615512713090185,0.9277076736770112,0.9852960825800489,0.5813879757542011
training_Utrecht_Utrecht_4,Utrecht,curvature_anisotropic_diffusion,2.0969810485839844,0.9817969418173794,10.086731269709235,10.94786442665652,62,0.7379368758756231,0.7885440371641741,7,0.11290322580645161,10,0.6711843105190323,43,7,0.5657486215587056,0.8116171772574813,0.7001506098992824,0.8402053960207652,0.9134956729507554,0.9620845875197064,0.5933802260641644
training_Utrecht_Utrecht_41,Utrecht,curvature_anisotropic_diffusion,1.9715561866760254,0.9812098166376286,10.312379250760996,11.698936784300201,75,0.7441864442619182,0.7989740761837815,7,0.09333333333333334,10,0.674785405652779,54,7,0.6433094215830353,0.6135711110038525,0.7944524659573982,0.8868795542806517,0.9395936288774052,0.9791042553237667,0.6298241030095298
training_Utrecht_Utrecht_49,Utrecht,curvature_anisotropic_diffusion,2.3054468631744385,0.9875303828407497,8.893680181650886,9.977866153705587,113,0.7151747228965234,0.8366117286430528,9,0.07964601769911504,10,0.6533291639478802,85,9,0.6808616022843776,0.7372156673813405,0.5909614863074124,0.893529867300643,0.8930214714339332,0.931454216822483,0.49096234114199205
training_Utrecht_Utrecht_8,Utrecht,curvature_anisotropic_diffusion,2.163264751434326,0.9851400009092218,5.3567230066310865,5.115319390902691,59,0.5270001369553099,0.7993970284231937,14,0.23728813559322035,10,0.42093661233065044,46,14,0.24670060084499185,0.1192215594925855,0.8100858872157732,0.8847081568946673,0.9246851858944539,0.9391015501563327,0.6476360744492602
training_Amsterdam_GE3T_101,Amsterdam,gaussian,0.11919450759887695,0.9311344016954507,8.009521161251353,5.681470726189628,25,0.6433032119725351,0.6934492165394593,4,0.16,10,0.6068583059610135,13,3,0.55477713201304,0.6575108868525241,0.7905710078353831,0.6923232532318839,0.5467456191938967,0.7460359507571431,
training_Amsterdam_GE3T_102,Amsterdam,gaussian,0.12050056457519531,0.9292330151860266,5.686623164469864,3.534984763357106,114,0.5466285464331511,0.59657640992798,33,0.2894736842105263,10,0.481551704526469,78,32,0.3890653031797018,0.5915365021968244,0.6076933498333542,0.675959786453784,0.7087244550963864,0.6849241212095186,0.3920726324880194
