subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio,mean,sd,p_low,p_high,percentile_range
training_Amsterdam_GE3T_109,Amsterdam,percentile,,,0.645186679931527,1.0,0.6618480272114995,0.9335688271127071,0.7882911037092537,1.4105486285817344,,,,,,,54.33175979614259,1014.6309277343752,"[1, 99]"
training_Amsterdam_GE3T_110,Amsterdam,wm_referenced,615.9641723632812,175560.0,1.023392241960603,1.6070283612980127,1.0,1.6596267701100986,1.3753757769677377,1.6596267701100986,1.3,0.028861308116627266,0.9585605234460196,65.42529989094875,,,,,
training_Amsterdam_GE3T_110,Amsterdam,z_score,,,0.16188427173928702,1.9320201288310521,0.09093690419246903,2.091548174439241,1.2294307373853643,22.999993160229586,,,,,597.4956912796584,203.09115696894682,,,
training_Amsterdam_GE3T_110,Amsterdam,percentile,,,0.6099412494387022,1.0,0.5943076236748632,1.0351528442860023,0.8451807305710544,1.741779514597509,,,,,,,68.21858283996582,989.8718945312505,"[1, 99]"
training_Amsterdam_GE3T_112,Amsterdam,wm_referenced,777.9925842285156,120802.0,0.980284436738007,1.3716064853374388,1.0,1.4682822256438672,1.2556829508786655,1.4682822256438672,1.3,0.23122377322942536,0.8241758241758241,6.128815628815629,,,,,
training_Amsterdam_GE3T_112,Amsterdam,z_score,,,0.28623504045133247,1.5527015396178103,0.3500420773225685,1.8655808849509419,1.177529035583188,5.329590371593481,,,,,693.8460327978621,240.38981848776808,,,
training_Amsterdam_GE3T_112,Amsterdam,percentile,,,0.6960216977152001,1.0,0.7113367137497397,1.0750975507658045,0.9099507954490389,1.511376440980441,,,,,,,65.56223022460938,1067.0996740722655,"[1, 99]"
training_Amsterdam_GE3T_113,Amsterdam,wm_referenced,781.4209594726562,139488.0,0.9929498630807431,1.5569931923490805,1.0,1.5948364736747842,1.346573691178985,1.5948364736747842,1.3,0.4678227360308285,0.9413771712158809,3.024503722084367,,,,,
training_Amsterdam_GE3T_113,Amsterdam,z_score,,,0.23378973272457848,2.042414339216467,0.2563962426319741,2.163760140583973,1.3676968702666097,8.43912577802394,,,,,718.9381218573268,243.69638561753828,,,
training_Amsterdam_GE3T_113,Amsterdam,percentile,,,0.6144778901945145,1.0,0.6192966399580393,1.02586578176108,0.856178832678437,1.6565014495001746,,,,,,,73.39862632751465,1216.6671142578125,"[1, 99]"
