split,subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio
training,training_Amsterdam_GE3T_115,Amsterdam,wm_referenced,794.461669921875,159825,1.0002903247119417,1.4506388096302685,1.0,1.5326034881987882,1.2934871385922133,1.5326034881987882,1.3,0.07024690331698395,0.8922914466737064,24.404435058078143
training,training_Amsterdam_GE3T_116,Amsterdam,wm_referenced,647.7651977539062,135713,1.014868484220038,1.630231849003838,1.0,1.717394870528885,1.3724147353454283,1.717394870528885,1.3,0.020649123735903004,0.9543230016313213,91.43230016313214
training,training_Amsterdam_GE3T_126,Amsterdam,wm_referenced,781.91845703125,180893,0.909822236473917,1.4828142202078347,1.0,1.5886729573258882,1.35464842893799,1.5886729573258882,1.3,0.3730165323585611,0.9500634786288616,4.093948370715193
training,training_Amsterdam_GE3T_132,Amsterdam,wm_referenced,793.323486328125,139312,0.937788298522859,2.0257324078852657,1.0,1.8816246919096844,1.479416843388718,1.8816246919096844,1.3,0.5697622252131,0.974477021242226,2.420644535982554
training,training_Amsterdam_GE3T_137,Amsterdam,wm_referenced,744.9925231933594,140810,0.9915868132426318,1.3889160797094375,1.0,1.4273960072366303,1.2373895206500598,1.4273960072366303,1.3,0.26166633942011913,0.783307210031348,4.987068965517241
training,training_Amsterdam_GE3T_144,Amsterdam,wm_referenced,592.7059326171875,142132,1.018203730779061,1.434921595272278,1.0,1.4287194876187508,1.215903417337271,1.4287194876187508,1.3,0.038333533822526966,0.7563291139240507,38.460443037974684
training,training_Singapore_Singapore_50,Singapore,wm_referenced,276.1821746826172,141174,0.9880430665957638,1.500981065338849,1.0,1.4428379201513823,1.2501570314712118,1.4428379201513823,1.3,0.5224523737526459,0.8072655063660787,2.0902931900478916
training,training_Singapore_Singapore_51,Singapore,wm_referenced,322.80291748046875,118817,0.9487656280636658,1.4383271602288836,1.0,1.3849533155233802,1.2080818192698801,1.3849533155233802,1.3,0.6861281826163301,0.7051658019399955,1.0554928942025716
training,training_Singapore_Singapore_52,Singapore,wm_referenced,290.739501953125,119702,0.9798306950638567,1.363382836399302,1.0,1.3595484159046882,1.188114971084141,1.3595484159046882,1.3,0.2162938641493946,0.6395631067961165,4.913834951456311
training,training_Singapore_Singapore_53,Singapore,wm_referenced,235.23963928222656,146524,1.0274379381013987,1.4372001908324532,1.0,1.3164648774556624,1.1384355825335766,1.3164648774556624,1.3,0.017440912795436022,0.5616797900262467,63.40944881889764
training,training_Singapore_Singapore_54,Singapore,wm_referenced,289.76898193359375,104099,1.0258034891497239,1.4351628494547217,1.0,1.3685523662080115,1.1880368925188123,1.3685523662080115,1.3,0.013481453586895124,0.683206106870229,100.35496183206106
training,training_Singapore_Singapore_55,Singapore,wm_referenced,353.4744567871094,121921,0.9469228590242423,1.3662426520491722,1.0,1.4326584648022287,1.2605744401691805,1.4326584648022287,1.3,0.1505477899508878,0.8259067357512954,9.972020725388601
training,training_Singapore_Singapore_56,Singapore,wm_referenced,277.20729064941406,129184,0.9633377602106935,1.4050500309433718,1.0,1.4131608658463501,1.2482354516749743,1.4131608658463501,1.3,0.6755915317559154,0.7945807396558038,1.3522519223727572
training,training_Singapore_Singapore_57,Singapore,wm_referenced,277.33282470703125,112690,0.9167269683378813,1.3830715327474379,1.0,1.3740031792625633,1.2280520513462128,1.3740031792625633,1.3,0.6398613518197573,0.7115051069570245,1.223935247639237
training,training_Singapore_Singapore_58,Singapore,wm_referenced,350.6710968017578,135126,0.9698400645281976,1.3563212243752947,1.0,1.3386920595236682,1.1912446580589908,1.3386920595236682,1.3,0.06014486109837719,0.6040515653775322,19.086556169429098
training,training_Singapore_Singapore_59,Singapore,wm_referenced,270.0484924316406,120262,0.9434432552385599,1.3404648597251496,1.0,1.346680379782955,1.1973163140617038,1.346680379782955,1.3,0.6705128205128205,0.6243178717598908,0.8622100954979536
training,training_Singapore_Singapore_60,Singapore,wm_referenced,239.6849822998047,135451,0.9470538410535526,1.5071271565849111,1.0,1.5300814648846017,1.27541942813198,1.5300814648846017,1.3,0.6477635364896678,0.8694003651172588,1.6843140008425783
training,training_Singapore_Singapore_61,Singapore,wm_referenced,339.6358337402344,88737,0.9752269415546706,1.3590928519756205,1.0,1.3401563833908083,1.2031748320879145,1.3401563833908083,1.3,0.49312602291325697,0.6212371134020619,1.5195876288659793
training,training_Singapore_Singapore_62,Singapore,wm_referenced,282.45343017578125,136637,0.9581175231761148,1.6342530496138807,1.0,1.4928975237681994,1.2187486183792138,1.4928975237681994,1.3,0.7465606990146867,0.7857072979847388,1.1048718450401096
training,training_Singapore_Singapore_63,Singapore,wm_referenced,177.82485961914062,130983,0.9347626508825778,1.51952493793939,1.0,1.4321338810169617,1.2423229073797422,1.4321338810169617,1.3,0.6956426618049225,0.7973752403243334,1.2924851625846359
training,training_Singapore_Singapore_64,Singapore,wm_referenced,204.84706115722656,144919,0.9694903267870936,1.3697675602801578,1.0,1.3409739113049772,1.2127385788913803,1.3409739113049772,1.3,0.4960934750475118,0.6487481590574374,1.6154270986745214
training,training_Singapore_Singapore_65,Singapore,wm_referenced,201.75047302246094,140059,0.9578574411172841,1.45193163715494,1.0,1.3707795366164321,1.2013175243321337,1.3707795366164321,1.3,0.4117527450183001,0.6713078070611636,2.260732637162274
training,training_Singapore_Singapore_66,Singapore,wm_referenced,248.04010772705078,148420,0.9730382961666062,1.3693800024625427,1.0,1.3783340484221505,1.2165972293843033,1.3783340484221505,1.3,0.3765818569335287,0.7092323130958355,2.7666833918715503
training,training_Singapore_Singapore_67,Singapore,wm_referenced,415.04815673828125,91360,0.9394709954149534,1.4586064070066698,1.0,1.338821325826831,1.1845877274159728,1.338821325826831,1.3,0.6174520535754016,0.59056860742254,0.9129213483146067
