config,subject_key,site,runtime_s,brain_volume_ml,head_volume_ml,brain_fraction_of_head,shallow_fraction,shallow_volume_ml,mean_depth_mm,outside_head_voxels,wmh_retained_fraction,wmh_lost_voxels
hdbet_t1,training_Utrecht_Utrecht_17,Utrecht,53.170328855514526,1465.88411091298,2681.972715186991,0.5465693601624788,0.02493416860730658,36.550601580275945,24.26135469853026,670,1.0,0
hdbet_t1,training_Utrecht_Utrecht_29,Utrecht,53.79202747344971,1532.5159352507553,2940.383475649285,0.5211959419382708,0.028876803451840533,44.25416144904963,24.51281291414718,1841,1.0,0
hdbet_t1,training_Utrecht_Utrecht_35,Utrecht,58.84138870239258,1265.9652459284018,2372.759430980446,0.5335413398421488,0.02373982819746627,30.053797442303395,23.15720755052074,1016,1.0,0
hdbet_t1,training_Utrecht_Utrecht_39,Utrecht,35.65876030921936,1426.8299956668538,2791.1304822490038,0.5112014664814809,0.008822745652350222,12.588558140912621,26.735798705900656,351,1.0,0
deepbet_flair,training_Amsterdam_GE3T_102,Amsterdam,2.1757264137268066,1398.0379792477456,3017.1847759495527,0.46335842285554496,0.042840762217047794,59.89301263935466,23.12611185105731,515,1.0,0
deepbet_flair,training_Amsterdam_GE3T_112,Amsterdam,1.4873290061950684,1284.788826755801,2800.7775540041303,0.4587257652500832,0.0564365403612661,72.50903647690748,20.241885268073773,1055,1.0,0
deepbet_flair,training_Amsterdam_GE3T_114,Amsterdam,1.5852208137512207,1420.170201252323,3300.3987072574687,0.430302617113931,0.03327688986592201,47.258847377937855,24.587390717792005,957,1.0,0
deepbet_flair,training_Amsterdam_GE3T_115,Amsterdam,1.5698392391204834,1504.74532642147,2732.1147590858795,0.5507621235225613,0.057371495327102805,86.32948946326916,22.17018887705007,678,1.0,0
deepbet_flair,training_Singapore_Singapore_51,Singapore,2.2243072986602783,1278.708,2897.814,0.44126641668512884,0.013813943449169004,17.664,25.675511020376632,366,1.0,0
deepbet_flair,training_Singapore_Singapore_52,Singapore,1.6635127067565918,1144.8599090147018,2524.463799373627,0.4535061700226266,0.03163356218227556,36.215997121810915,24.025679043016044,1506,1.0,0
